"C:\Program Files\Java\jdk-11.0.12\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2020.2.3\lib\idea_rt.jar=58672:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2020.2.3\bin" -Dfile.encoding=UTF-8 -classpath "C:\Users\fabri\Documents\USP\Git projetos\Multilayer-Perpectron\out\production\MultilayerPerceptron" Main
Acertos para rede neural 63-24-7: [0,1] 11/21	[0,2] 7/21	[0,3] 10/21	[0,4] 7/21	[0,5] 15/21	[0,6] 11/21	[0,7] 5/21	[0,8] 1/21	[0,9] 0/21	[1,0] 2/21	Melhor taxa: 0,5
Acertos para rede neural 63-25-7: [0,1] 8/21	[0,2] 8/21	[0,3] 12/21	[0,4] 11/21	[0,5] 10/21	[0,6] 9/21	[0,7] 2/21	[0,8] 6/21	[0,9] 1/21	[1,0] 0/21	Melhor taxa: 0,3
Acertos para rede neural 63-26-7: [0,1] 12/21	[0,2] 11/21	[0,3] 10/21	[0,4] 11/21	[0,5] 10/21	[0,6] 11/21	[0,7] 3/21	[0,8] 1/21	[0,9] 2/21	[1,0] 2/21	Melhor taxa: 0,1
Acertos para rede neural 63-27-7: [0,1] 11/21	[0,2] 11/21	[0,3] 8/21	[0,4] 13/21	[0,5] 13/21	[0,6] 10/21	[0,7] 4/21	[0,8] 1/21	[0,9] 3/21	[1,0] 1/21	Melhor taxa: 0,4
Acertos para rede neural 63-28-7: [0,1] 7/21	[0,2] 7/21	[0,3] 9/21	[0,4] 11/21	[0,5] 13/21	[0,6] 16/21	[0,7] 3/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,6
Acertos para rede neural 63-29-7: [0,1] 11/21	[0,2] 12/21	[0,3] 8/21	[0,4] 9/21	[0,5] 11/21	[0,6] 12/21	[0,7] 2/21	[0,8] 0/21	[0,9] 0/21	[1,0] 4/21	Melhor taxa: 0,2
Acertos para rede neural 63-30-7: [0,1] 8/21	[0,2] 11/21	[0,3] 9/21	[0,4] 9/21	[0,5] 9/21	[0,6] 11/21	[0,7] 1/21	[0,8] 2/21	[0,9] 0/21	[1,0] 1/21	Melhor taxa: 0,2
Acertos para rede neural 63-31-7: [0,1] 9/21	[0,2] 9/21	[0,3] 14/21	[0,4] 9/21	[0,5] 13/21	[0,6] 4/21	[0,7] 5/21	[0,8] 4/21	[0,9] 1/21	[1,0] 0/21	Melhor taxa: 0,3
Acertos para rede neural 63-32-7: [0,1] 8/21	[0,2] 11/21	[0,3] 12/21	[0,4] 9/21	[0,5] 14/21	[0,6] 7/21	[0,7] 1/21	[0,8] 4/21	[0,9] 3/21	[1,0] 0/21	Melhor taxa: 0,5
Acertos para rede neural 63-33-7: [0,1] 8/21	[0,2] 11/21	[0,3] 13/21	[0,4] 10/21	[0,5] 11/21	[0,6] 7/21	[0,7] 5/21	[0,8] 1/21	[0,9] 2/21	[1,0] 3/21	Melhor taxa: 0,3
Acertos para rede neural 63-34-7: [0,1] 7/21	[0,2] 9/21	[0,3] 8/21	[0,4] 10/21	[0,5] 13/21	[0,6] 8/21	[0,7] 1/21	[0,8] 1/21	[0,9] 1/21	[1,0] 2/21	Melhor taxa: 0,5
Acertos para rede neural 63-35-7: [0,1] 9/21	[0,2] 11/21	[0,3] 5/21	[0,4] 10/21	[0,5] 13/21	[0,6] 2/21	[0,7] 3/21	[0,8] 0/21	[0,9] 3/21	[1,0] 0/21	Melhor taxa: 0,5
Acertos para rede neural 63-36-7: [0,1] 11/21	[0,2] 8/21	[0,3] 8/21	[0,4] 8/21	[0,5] 15/21	[0,6] 2/21	[0,7] 2/21	[0,8] 0/21	[0,9] 0/21	[1,0] 2/21	Melhor taxa: 0,5
Acertos para rede neural 63-37-7: [0,1] 8/21	[0,2] 13/21	[0,3] 10/21	[0,4] 9/21	[0,5] 11/21	[0,6] 1/21	[0,7] 5/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,2
Acertos para rede neural 63-38-7: [0,1] 10/21	[0,2] 8/21	[0,3] 8/21	[0,4] 9/21	[0,5] 14/21	[0,6] 0/21	[0,7] 3/21	[0,8] 0/21	[0,9] 0/21	[1,0] 1/21	Melhor taxa: 0,5
Acertos para rede neural 63-39-7: [0,1] 11/21	[0,2] 8/21	[0,3] 11/21	[0,4] 14/21	[0,5] 11/21	[0,6] 2/21	[0,7] 5/21	[0,8] 0/21	[0,9] 0/21	[1,0] 3/21	Melhor taxa: 0,4
Acertos para rede neural 63-40-7: [0,1] 9/21	[0,2] 8/21	[0,3] 7/21	[0,4] 6/21	[0,5] 9/21	[0,6] 2/21	[0,7] 1/21	[0,8] 2/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,1
Acertos para rede neural 63-41-7: [0,1] 10/21	[0,2] 10/21	[0,3] 11/21	[0,4] 11/21	[0,5] 13/21	[0,6] 1/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 1/21	Melhor taxa: 0,5
Acertos para rede neural 63-42-7: [0,1] 7/21	[0,2] 9/21	[0,3] 7/21	[0,4] 10/21	[0,5] 15/21	[0,6] 5/21	[0,7] 0/21	[0,8] 1/21	[0,9] 3/21	[1,0] 0/21	Melhor taxa: 0,5
Acertos para rede neural 63-43-7: [0,1] 7/21	[0,2] 9/21	[0,3] 13/21	[0,4] 10/21	[0,5] 14/21	[0,6] 2/21	[0,7] 0/21	[0,8] 1/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,5
Acertos para rede neural 63-44-7: [0,1] 8/21	[0,2] 11/21	[0,3] 11/21	[0,4] 10/21	[0,5] 10/21	[0,6] 2/21	[0,7] 1/21	[0,8] 0/21	[0,9] 1/21	[1,0] 0/21	Melhor taxa: 0,2
Acertos para rede neural 63-45-7: [0,1] 10/21	[0,2] 13/21	[0,3] 12/21	[0,4] 8/21	[0,5] 9/21	[0,6] 0/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,2
Acertos para rede neural 63-46-7: [0,1] 9/21	[0,2] 11/21	[0,3] 9/21	[0,4] 10/21	[0,5] 13/21	[0,6] 3/21	[0,7] 2/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,5
Acertos para rede neural 63-47-7: [0,1] 12/21	[0,2] 7/21	[0,3] 12/21	[0,4] 9/21	[0,5] 13/21	[0,6] 0/21	[0,7] 1/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,5
Acertos para rede neural 63-48-7: [0,1] 9/21	[0,2] 11/21	[0,3] 8/21	[0,4] 8/21	[0,5] 10/21	[0,6] 1/21	[0,7] 0/21	[0,8] 1/21	[0,9] 1/21	[1,0] 0/21	Melhor taxa: 0,2
Acertos para rede neural 63-49-7: [0,1] 9/21	[0,2] 11/21	[0,3] 10/21	[0,4] 14/21	[0,5] 13/21	[0,6] 4/21	[0,7] 0/21	[0,8] 3/21	[0,9] 5/21	[1,0] 0/21	Melhor taxa: 0,4
Acertos para rede neural 63-50-7: [0,1] 9/21	[0,2] 11/21	[0,3] 7/21	[0,4] 10/21	[0,5] 13/21	[0,6] 0/21	[0,7] 5/21	[0,8] 0/21	[0,9] 0/21	[1,0] 1/21	Melhor taxa: 0,5
Acertos para rede neural 63-51-7: [0,1] 10/21	[0,2] 9/21	[0,3] 12/21	[0,4] 13/21	[0,5] 10/21	[0,6] 0/21	[0,7] 0/21	[0,8] 0/21	[0,9] 3/21	[1,0] 0/21	Melhor taxa: 0,4
Acertos para rede neural 63-52-7: [0,1] 8/21	[0,2] 8/21	[0,3] 12/21	[0,4] 11/21	[0,5] 14/21	[0,6] 3/21	[0,7] 0/21	[0,8] 0/21	[0,9] 1/21	[1,0] 0/21	Melhor taxa: 0,5
Acertos para rede neural 63-53-7: [0,1] 10/21	[0,2] 10/21	[0,3] 9/21	[0,4] 11/21	[0,5] 8/21	[0,6] 4/21	[0,7] 1/21	[0,8] 1/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,4
Acertos para rede neural 63-54-7: [0,1] 11/21	[0,2] 8/21	[0,3] 8/21	[0,4] 13/21	[0,5] 10/21	[0,6] 7/21	[0,7] 1/21	[0,8] 2/21	[0,9] 0/21	[1,0] 1/21	Melhor taxa: 0,4
Acertos para rede neural 63-55-7: [0,1] 8/21	[0,2] 8/21	[0,3] 8/21	[0,4] 10/21	[0,5] 16/21	[0,6] 3/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 1/21	Melhor taxa: 0,5
Acertos para rede neural 63-56-7: [0,1] 11/21	[0,2] 10/21	[0,3] 11/21	[0,4] 13/21	[0,5] 15/21	[0,6] 1/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,5
Acertos para rede neural 63-57-7: [0,1] 10/21	[0,2] 9/21	[0,3] 10/21	[0,4] 12/21	[0,5] 11/21	[0,6] 1/21	[0,7] 1/21	[0,8] 2/21	[0,9] 1/21	[1,0] 1/21	Melhor taxa: 0,4
Acertos para rede neural 63-58-7: [0,1] 9/21	[0,2] 12/21	[0,3] 8/21	[0,4] 11/21	[0,5] 12/21	[0,6] 0/21	[0,7] 0/21	[0,8] 1/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,2
Acertos para rede neural 63-59-7: [0,1] 8/21	[0,2] 7/21	[0,3] 7/21	[0,4] 12/21	[0,5] 16/21	[0,6] 0/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,5
Acertos para rede neural 63-60-7: [0,1] 7/21	[0,2] 9/21	[0,3] 8/21	[0,4] 16/21	[0,5] 9/21	[0,6] 2/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,4
Acertos para rede neural 63-61-7: [0,1] 10/21	[0,2] 7/21	[0,3] 10/21	[0,4] 11/21	[0,5] 8/21	[0,6] 1/21	[0,7] 0/21	[0,8] 0/21	[0,9] 1/21	[1,0] 0/21	Melhor taxa: 0,4
Acertos para rede neural 63-62-7: [0,1] 9/21	[0,2] 9/21	[0,3] 3/21	[0,4] 10/21	[0,5] 12/21	[0,6] 1/21	[0,7] 0/21	[0,8] 0/21	[0,9] 2/21	[1,0] 0/21	Melhor taxa: 0,5
Acertos para rede neural 63-63-7: [0,1] 10/21	[0,2] 8/21	[0,3] 10/21	[0,4] 10/21	[0,5] 10/21	[0,6] 2/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,1
Acertos para rede neural 63-64-7: [0,1] 8/21	[0,2] 9/21	[0,3] 10/21	[0,4] 11/21	[0,5] 3/21	[0,6] 0/21	[0,7] 1/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,4
Acertos para rede neural 63-65-7: [0,1] 8/21	[0,2] 10/21	[0,3] 11/21	[0,4] 8/21	[0,5] 9/21	[0,6] 0/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 0/21	Melhor taxa: 0,3
Acertos para rede neural 63-66-7: [0,1] 7/21	[0,2] 7/21	[0,3] 7/21	[0,4] 13/21	[0,5] 15/21	[0,6] 3/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 4/21	Melhor taxa: 0,5
Acertos para rede neural 63-67-7: [0,1] 10/21	[0,2] 10/21	[0,3] 8/21	[0,4] 14/21	[0,5] 4/21	[0,6] 1/21	[0,7] 0/21	[0,8] 1/21	[0,9] 1/21	[1,0] 0/21	Melhor taxa: 0,4
Acertos para rede neural 63-68-7: [0,1] 8/21	[0,2] 10/21	[0,3] 8/21	[0,4] 11/21	[0,5] 5/21	[0,6] 1/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 1/21	Melhor taxa: 0,4
Acertos para rede neural 63-69-7: [0,1] 10/21	[0,2] 8/21	[0,3] 9/21	[0,4] 9/21	[0,5] 13/21	[0,6] 1/21	[0,7] 1/21	[0,8] 1/21	[0,9] 2/21	[1,0] 0/21	Melhor taxa: 0,5
Acertos para rede neural 63-70-7: [0,1] 9/21	[0,2] 8/21	[0,3] 10/21	[0,4] 9/21	[0,5] 16/21	[0,6] 3/21	[0,7] 2/21	[0,8] 0/21	[0,9] 1/21	[1,0] 0/21	Melhor taxa: 0,5
Acertos para rede neural 63-71-7: [0,1] 7/21	[0,2] 11/21	[0,3] 11/21	[0,4] 7/21	[0,5] 9/21	[0,6] 3/21	[0,7] 0/21	[0,8] 0/21	[0,9] 0/21	[1,0] 1/21	Melhor taxa: 0,2
