, Got_A, Got_B, Got_C, Got_D, Got_E, Got_J, Got_K
Should_Be_A, 0, 0, 0, 0, 0, 0, 0
Should_Be_B, 0, 0, 0, 0, 0, 0, 0
Should_Be_C, 0, 0, 0, 0, 0, 0, 0
Should_Be_D, 0, 0, 0, 0, 0, 0, 0
Should_Be_E, 0, 0, 0, 0, 0, 0, 0
Should_Be_J, 0, 0, 0, 0, 0, 0, 0
Should_Be_K, 0, 0, 0, 0, 0, 0, 0
