testError, validateError
9.495108788290546, 9.452916325838643
9.129540483070231, 9.470745788455643
9.508725723936573, 9.483021582494853
9.468989023983989, 9.50612229685097
9.468317072573006, 9.507292984322818
9.49113252493612, 9.50695897550848
9.506814974287414, 5.23972010558313
9.459317946075258, 9.505582203985062
9.504249828030531, 9.504963156994874
9.464859511569104, 9.477262467309599
9.441335798466431, 9.438883032296754
9.496699011805212, 9.499425726666347
9.43047553153101, 9.458654542892603
9.499381904796602, 9.501444118088429
1.8871638892894835, 9.498270582500963
9.466974929525941, 9.4994465229293
9.450774573804724, 9.431515394137007
9.424813578731806, 9.321730502421167
2.0614340659326937, 9.453547492035083
9.494026085926862, 9.469212355452475
9.496803414713577, 4.480089675931752
9.494543146126311, 4.48896903989901
9.465168089854467, 9.423997544405992
9.49276482601982, 9.305857444845776
9.489416771224608, 9.492853001421901
9.441557399388975, 9.464272182711412
9.49149897588327, 9.463392427290318
9.255792988198413, 9.462488138394308
9.488871168084081, 9.49078483469694
9.483026883261493, 9.48721015630622
9.433991694024543, 9.48641866301155
8.305017593455855, 9.411260946969856
9.480489006228654, 4.617926530230839
1.8042778863611706, 9.485567657590206
9.485666350596318, 9.483139477214536
9.429794824092562, 9.48229034817224
9.428496980822844, 9.48445555331193
9.415133037811833, 9.435869850428064
9.480313452069995, 9.259802880042752
9.478528570423899, 9.4507907375703
8.773597562865607, 9.481012955025335
9.43603750872893, 9.480131640274635
9.476339890297885, 9.392256823970683
9.475544064480156, 9.478273237076737
9.416634373840017, 9.474003880188121
9.468127657574378, 4.80292366608714
9.474326908594827, 9.47192949566445
9.428871498510768, 9.220647303593681
9.471010205786571, 9.471102766657141
9.41091561170277, 9.466945645123758
9.38961788321035, 9.438128464440837
9.14381116338262, 9.368324674101247
9.42189088088225, 4.953683515040795
9.451814710558017, 9.467493435957234
9.360955537615384, 9.172216153931943
9.460116000331103, 9.165010008734411
9.458737423227946, 9.463539856998866
9.469396817875179, 9.144049580848872
7.957628177421434, 9.407016953517488
9.389689654209317, 9.405635462926854
9.45549411847153, 9.404015775922032
8.92528720704299, 9.331737325710089
9.389771397618157, 9.420758925413624
9.451851134367454, 9.095972797110463
9.353275893002907, 5.090291370970833
8.885471828907473, 9.319247975358236
9.430819179400993, 9.071451923611077
9.360811556248427, 9.061703340999882
1.6919044725321872, 5.093081864674619
9.44288860271854, 9.444863686473257
9.37526594869882, 9.033668238833995
1.678144986969459, 5.102299361515279
